Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1,1,2000,1,8760,8760,1,1663.177595,6965.434332,5143.382103
,2,0.9,0.04,1800,,,,2,1535.007983,6522.210541,5265.434909
,3,0.55,0.024,1100,,,,3,1468.524969,6346.031029,4895.489994
,4,0.2,0.003,400,,,,4,1441.768185,6229.738081,4704.735347
,,,,,,,,5,1441.269756,6179.470959,4669.364546
,,,,,,,,6,1421.317892,6175.444441,4639.137067
,,,,,,,,7,1428.840646,6245.424677,4762.000099
,,,,,,,,8,1393.573435,6252.341615,4807.965665
,,,,,,,,9,1294.839715,6430.364431,4786.222699
,,,,,,,,10,1148.564699,6548.716488,4593.865843
,,,,,,,,11,1084.936721,6561.343763,4349.949812
,,,,,,,,12,902.8193538,6546.733918,4090.837445
,,,,,,,,13,875.1911555,6588.094233,3816.617592
,,,,,,,,14,810.1511432,6692.052451,3676.270078
,,,,,,,,15,889.7865289,6824.034217,3717.886486
,,,,,,,,16,1003.816415,7066.778883,3967.954828
,,,,,,,,17,1127.433031,7415.772791,4375.746263
,,,,,,,,18,1261.836253,7523.310375,4627.89287
,,,,,,,,19,1235.130119,7428.711677,4767.537387
,,,,,,,,20,1251.897287,7606.449641,4871.969528
,,,,,,,,21,1323.991488,7571.68013,5010.990319
,,,,,,,,22,1305.771189,7417.908806,4786.070115
,,,,,,,,23,1235.166813,7257.754545,4599.789067
,,,,,,,,24,1313.754701,6916.166717,4727.546038
,,,,,,,,25,1521.598939,6670.536255,4746.877515
,,,,,,,,26,1373.009148,6368.058049,4897.977704
,,,,,,,,27,1321.961923,6228.867573,4645.283506
,,,,,,,,28,1317.388807,6207.064483,4529.063422
,,,,,,,,29,1351.133916,6309.737511,4592.553025
,,,,,,,,30,1405.753944,6567.642768,4751.761683
,,,,,,,,31,1527.398233,7098.237256,5219.506151
,,,,,,,,32,1616.66454,7831.586892,5541.024155
,,,,,,,,33,1643.657952,8631.316542,5822.21038
,,,,,,,,34,1595.646511,9279.956051,5860.030753
,,,,,,,,35,1604.192988,9525.043295,5811.059986
,,,,,,,,36,1452.991006,9914.834742,5674.556134
,,,,,,,,37,1447.788561,10575.9192,5573.280346
,,,,,,,,38,1483.927537,10859.67369,5533.16123
,,,,,,,,39,1531.685081,11138.6541,5641.034412
,,,,,,,,40,1639.280238,11011.40215,5868.201271
,,,,,,,,41,1769.397713,10729.59075,5951.983927
,,,,,,,,42,1834.157454,9903.359275,5643.217625
,,,,,,,,43,1832.302963,8991.619658,5409.133886
,,,,,,,,44,1733.671378,8960.469041,5275.833882
,,,,,,,,45,1693.643703,8428.753315,5321.779159
,,,,,,,,46,1636.493658,7978.987957,4990.95751
,,,,,,,,47,1508.430962,7570.129093,4761.839875
,,,,,,,,48,1534.55417,7167.495551,4909.7787
,,,,,,,,49,1492.412531,6786.162087,4634.22026
,,,,,,,,50,1334.520225,6439.23772,4758.662664
,,,,,,,,51,1276.266202,6307.153048,4523.608553
,,,,,,,,52,1259.756734,6303.959433,4419.057033
,,,,,,,,53,1276.778482,6400.175295,4470.643536
,,,,,,,,54,1318.077172,6731.823837,4652.759128
,,,,,,,,55,1438.535779,7381.677896,5103.585565
,,,,,,,,56,1537.701535,8274.475346,5331.772669
,,,,,,,,57,1554.617685,9501.198426,5464.330952
,,,,,,,,58,1553.710933,10404.61481,5426.841005
,,,,,,,,59,1584.801283,10864.24956,5330.481317
,,,,,,,,60,1464.926561,11252.94151,5185.423574
,,,,,,,,61,1510.321815,11336.4007,5021.857905
,,,,,,,,62,1619.913368,11345.21864,4921.570719
,,,,,,,,63,1663.791402,11459.93778,4960.769852
,,,,,,,,64,1829.645724,11568.26783,5154.790458
,,,,,,,,65,1954.555008,11203.79085,5284.557629
,,,,,,,,66,2017.99588,9829.214148,5184.838793
,,,,,,,,67,1985.626087,8688.438284,5050.179064
,,,,,,,,68,1859.533778,8537.054875,5060.984277
,,,,,,,,69,1757.594151,8107.511501,5200.290014
,,,,,,,,70,1619.585044,7773.124249,4905.554085
,,,,,,,,71,1483.212851,7404.581202,4699.119127
,,,,,,,,72,1559.359688,7053.829185,4902.479383
,,,,,,,,73,1504.619281,6717.062106,4642.426012
,,,,,,,,74,1341.012046,6432.326735,4768.310594
,,,,,,,,75,1280.567112,6313.456184,4486.74979
,,,,,,,,76,1288.669749,6309.603452,4379.563984
,,,,,,,,77,1308.337913,6385.684777,4447.620675
,,,,,,,,78,1382.384204,6729.611079,4656.941966
,,,,,,,,79,1585.000601,7265.353067,5183.653916
,,,,,,,,80,1759.976576,7938.952537,5529.802815
,,,,,,,,81,1850.987239,8635.047262,5700.135885
,,,,,,,,82,1824.122547,8901.780114,5659.68844
,,,,,,,,83,1904.415583,9027.431221,5471.65223
,,,,,,,,84,1825.085237,9146.150239,5300.380922
,,,,,,,,85,1848.522363,9145.145019,5118.484355
,,,,,,,,86,1932.089659,8856.80441,5040.590488
,,,,,,,,87,2015.914443,8915.93294,5157.604798
,,,,,,,,88,2120.894438,8962.938073,5423.630003
,,,,,,,,89,2258.420829,8733.829192,5679.168153
,,,,,,,,90,2393.94825,8298.011962,5646.653091
,,,,,,,,91,2445.793929,8003.563628,5512.902815
,,,,,,,,92,2375.224699,8208.393262,5379.717934
,,,,,,,,93,2255.481963,7833.859703,5387.35196
,,,,,,,,94,2100.761407,7586.115843,5103.456278
